2059	12345678	500000	AHORROS	1234
3604	34512367	250000	CORRIENTE	5678
3201	54918462	425000	CORRIENTE	1357
6392	87653910	750000	CORRIENTE	7463
2973	92175563	500000	AHORROS	7221
0951	67764231	350000	AHORROS	7777
6223	98127465	1000000	CORRIENTE	5455
2209	81231989	350000	CORRIENTE	9911
0112	98712309	100000	AHORROS	6567
6734	66734528	235000	CORRIENTE	8820
7461	84656572	650000	AHORROS	6634
1045	93514950	740000	AHORROS	3546
3433	11003214	500000	CORRIENTE	5638
9899	66923868	560000	CORRIENTE	7361
6112	23016782	400000	AHORROS	6177
8475	09843218	1000000	CORRIENTE	5654
9923	62019582	200000	CORRIENTE	6401
2209	73465728	850000	AHORROS	7532
7823	87687991	450000	CORRIENTE	3435
2987	74613958	600000	CORRIENTE	1111
8472	54025968	950000	AHORROS	4298
1010	10835729	780000	AHORROS	3200
8045	55920148	750000	CORRIENTE	0045
8181	10562956	550000	CORRIENTE	6562
9290	10239573	770000	AHORROS	7852
4550	98126581	670000	AHORROS	3267
5501	32324567	570000	CORRIENTE	9999
4401	38574629	450000	AHORRO	1116
2020	90456789	840000	AHORRO	2265
2206	98992345	1000000	AHORRO	7672
